GO,Cluster,Function
GO:1905203,23,P:regulation of connective tissue replacement
GO:0032674,23,P:regulation of interleukin-5 production
GO:0052652,4,P:cyclic purine nucleotide metabolic process
GO:0031392,17,P:regulation of prostaglandin biosynthetic process
GO:0086066,22,P:atrial cardiac muscle cell to AV node cell communication
GO:1901021,41,P:positive regulation of calcium ion transmembrane transporter activity
GO:0086070,22,P:SA node cell to atrial cardiac muscle cell communication
GO:1905534,49,P:positive regulation of leucine import across plasma membrane
GO:0071040,11,P:nuclear polyadenylation-dependent antisense transcript catabolic process
GO:1903093,27,P:regulation of protein K48-linked deubiquitination
GO:0051355,23,P:proprioception involved in equilibrioception
GO:0060795,9,P:cell fate commitment involved in formation of primary germ layer
GO:0090081,13,P:regulation of heart induction by regulation of canonical Wnt signaling pathway
GO:0150045,23,P:regulation of synaptic signaling by nitric oxide
GO:0098925,23,"P:retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission"
GO:0099555,23,"P:trans-synaptic signaling by nitric oxide, modulating synaptic transmission"
GO:2001031,42,P:positive regulation of cellular glucuronidation
GO:0099607,23,P:lateral attachment of mitotic spindle microtubules to kinetochore
GO:0099606,23,P:microtubule plus-end directed mitotic chromosome migration
GO:0071206,8,P:establishment of protein localization to juxtaparanode region of axon
GO:0097090,23,P:presynaptic membrane organization
GO:0010769,15,P:regulation of cell morphogenesis involved in differentiation
GO:0019859,4,P:thymine metabolic process
GO:0006573,4,P:valine metabolic process
GO:0038129,13,P:ERBB3 signaling pathway
GO:0086042,22,P:cardiac muscle cell-cardiac muscle cell adhesion
GO:0072750,12,P:cellular response to leptomycin B
GO:0033143,45,P:regulation of intracellular steroid hormone receptor signaling pathway
GO:0060133,22,P:somatotropin secreting cell development
GO:0016268,23,"P:O-glycan processing, core 2"
GO:0006463,43,P:steroid hormone receptor complex assembly
GO:1900143,14,P:positive regulation of oligodendrocyte apoptotic process
GO:0061360,23,P:optic chiasma development
GO:2000597,42,P:positive regulation of optic nerve formation
GO:1903609,39,P:negative regulation of inward rectifier potassium channel activity
GO:1900085,39,P:negative regulation of peptidyl-tyrosine autophosphorylation
GO:0052547,23,P:regulation of peptidase activity
GO:0060939,22,P:epicardium-derived cardiac fibroblast cell development
GO:0070341,32,P:fat cell proliferation
GO:0051455,23,P:monopolar spindle attachment to meiosis I kinetochore
GO:0002489,25,"P:antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent"
GO:1905537,43,P:positive regulation of eukaryotic translation initiation factor 4F complex assembly
GO:1905612,42,P:positive regulation of mRNA cap binding
GO:1905696,23,P:regulation of polysome binding
GO:0051542,17,P:elastin biosynthetic process
GO:0042414,4,P:epinephrine metabolic process
GO:0018205,23,P:peptidyl-lysine modification
GO:1903036,42,P:positive regulation of response to wounding
GO:2000570,42,P:positive regulation of T-helper 2 cell activation
GO:0061445,9,P:endocardial cushion cell fate commitment
GO:0006713,11,P:glucocorticoid catabolic process
GO:1905528,42,P:positive regulation of Golgi lumen acidification
GO:0035037,23,P:sperm entry
GO:0018964,4,P:propylene metabolic process
GO:1905429,23,P:response to glycine
GO:2000753,11,P:positive regulation of glucosylceramide catabolic process
GO:1900163,42,P:positive regulation of phospholipid scramblase activity
GO:0046901,17,P:tetrahydrofolylpolyglutamate biosynthetic process
GO:0042137,23,P:sequestering of neurotransmitter
GO:0002552,37,P:serotonin secretion by mast cell
GO:0099123,23,P:somato-dendritic dopamine secretion
GO:0061582,6,P:intestinal epithelial cell migration
GO:0051463,39,P:negative regulation of cortisol secretion
GO:0060125,39,P:negative regulation of growth hormone secretion
GO:0006666,4,P:3-keto-sphinganine metabolic process
GO:0061516,23,P:monocyte proliferation
GO:0150153,42,P:positive regulation of interleukin-17A production
GO:0001812,42,P:positive regulation of type I hypersensitivity
GO:0002721,15,P:regulation of B cell cytokine production
GO:0060844,9,P:arterial endothelial cell fate commitment
GO:0097101,9,P:blood vessel endothelial cell fate specification
GO:1901297,13,P:positive regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment
GO:1901189,45,P:positive regulation of ephrin receptor signaling pathway
GO:1901186,13,P:positive regulation of ERBB signaling pathway
GO:0003185,23,P:sinoatrial valve morphogenesis
GO:1901684,20,P:arsenate ion transmembrane transport
GO:1901128,4,P:gentamycin metabolic process
GO:0042431,4,P:indole metabolic process
GO:2000187,20,P:positive regulation of phosphate transmembrane transport
GO:1904631,23,P:response to glucoside
GO:2000612,23,P:regulation of thyroid-stimulating hormone secretion
GO:1901254,42,P:positive regulation of intracellular transport of viral material
GO:2000761,16,P:positive regulation of N-terminal peptidyl-lysine acetylation
GO:0033084,32,P:regulation of immature T cell proliferation in thymus
GO:2000250,39,P:negative regulation of actin cytoskeleton reorganization
GO:0046831,23,P:regulation of RNA export from nucleus
GO:0021966,34,P:corticospinal neuron axon guidance
GO:0048087,42,P:positive regulation of developmental pigmentation
GO:0032976,23,P:release of matrix enzymes from mitochondria
GO:0001777,23,P:T cell homeostatic proliferation
GO:0071839,14,P:apoptotic process in bone marrow cell
GO:0019050,14,P:suppression by virus of host apoptotic process
GO:0015802,23,P:basic amino acid transport
GO:2000191,23,P:regulation of fatty acid transport
GO:1904025,11,P:positive regulation of glucose catabolic process to lactate via pyruvate
GO:0061737,13,P:leukotriene signaling pathway
GO:0061006,2,P:regulation of cell proliferation involved in kidney morphogenesis
GO:0039695,23,P:DNA-templated viral transcription
GO:1905698,42,P:positive regulation of polysome binding
GO:2001304,4,P:lipoxin B4 metabolic process
GO:0086024,45,P:adenylate cyclase-activating adrenergic receptor signaling pathway involved in positive regulation of heart rate
GO:0051415,23,P:microtubule nucleation by interphase microtubule organizing center
GO:0018874,4,P:benzoate metabolic process
GO:0019605,4,P:butyrate metabolic process
GO:0033313,23,P:meiotic cell cycle checkpoint signaling
GO:0010657,14,P:muscle cell apoptotic process
GO:0014853,28,P:regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction
GO:0014722,28,P:regulation of skeletal muscle contraction by calcium ion signaling
GO:1905216,42,P:positive regulation of RNA binding
GO:0061855,39,P:negative regulation of neuroblast migration
GO:1900721,26,P:positive regulation of uterine smooth muscle relaxation
GO:0002209,23,P:behavioral defense response
GO:0140067,23,P:peptidyl-lysine butyrylation
GO:0140066,23,P:peptidyl-lysine crotonylation
GO:0061921,23,P:peptidyl-lysine propionylation
GO:0036268,23,P:swimming
GO:0097468,23,P:programmed cell death in response to reactive oxygen species
GO:0002691,23,P:regulation of cellular extravasation
GO:0002737,10,P:negative regulation of plasmacytoid dendritic cell cytokine production
GO:0060353,15,P:regulation of cell adhesion molecule production
GO:2000389,23,P:regulation of neutrophil extravasation
GO:0001807,23,P:regulation of type IV hypersensitivity
GO:0002319,30,P:memory B cell differentiation
GO:0043538,23,P:regulation of actin phosphorylation
GO:0042264,23,P:peptidyl-aspartic acid hydroxylation
GO:0031585,23,"P:regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"
GO:1901879,27,P:regulation of protein depolymerization
GO:1900461,21,P:positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter
GO:0039692,23,P:single stranded viral RNA replication via double stranded DNA intermediate
GO:0035672,20,P:oligopeptide transmembrane transport
GO:0006857,23,P:oligopeptide transport
GO:0019483,17,P:beta-alanine biosynthetic process
GO:0006145,11,P:purine nucleobase catabolic process
GO:0006214,11,P:thymidine catabolic process
GO:1903054,39,P:negative regulation of extracellular matrix organization
GO:1904890,39,P:negative regulation of excitatory synapse assembly
GO:0014822,23,P:detection of wounding
GO:0048613,23,P:embryonic ectodermal digestive tract morphogenesis
GO:0060461,18,P:right lung morphogenesis
GO:1902914,27,P:regulation of protein polyubiquitination
GO:0072010,23,P:glomerular epithelium development
GO:1902038,30,P:positive regulation of hematopoietic stem cell differentiation
GO:0007495,23,P:visceral mesoderm-endoderm interaction involved in midgut development
GO:0010650,2,P:positive regulation of cell communication by electrical coupling
GO:1900827,46,P:positive regulation of membrane depolarization during cardiac muscle cell action potential
GO:1903764,49,P:regulation of potassium ion export across plasma membrane
GO:1903286,23,P:regulation of potassium ion import
GO:0036285,43,P:SAGA complex assembly
GO:0140208,14,P:apoptotic process in response to mitochondrial fragmentation
GO:0120169,23,P:detection of cold stimulus involved in thermoception
GO:1900139,39,P:negative regulation of arachidonic acid secretion
GO:1903945,14,P:positive regulation of hepatocyte apoptotic process
GO:0007014,23,P:actin ubiquitination
GO:1903886,42,P:positive regulation of chemokine (C-C motif) ligand 20 production
GO:1903883,13,P:positive regulation of interleukin-17-mediated signaling pathway
GO:0034441,3,P:plasma lipoprotein particle oxidation
GO:2000798,30,P:negative regulation of amniotic stem cell differentiation
GO:2000706,39,P:negative regulation of dense core granule biogenesis
GO:0046318,1,P:negative regulation of glucosylceramide biosynthetic process
GO:1901563,23,P:response to camptothecin
GO:0090341,39,P:negative regulation of secretion of lysosomal enzymes
GO:0071765,23,P:nuclear inner membrane organization
GO:1903632,42,P:positive regulation of aminoacyl-tRNA ligase activity
GO:2000454,47,"P:positive regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation"
GO:1901211,39,P:negative regulation of cardiac chamber formation
GO:1901208,39,P:negative regulation of heart looping
GO:0090262,21,P:regulation of transcription-coupled nucleotide-excision repair
GO:0036494,42,P:positive regulation of translation initiation in response to endoplasmic reticulum stress
GO:0046146,4,P:tetrahydrobiopterin metabolic process
GO:0060825,45,P:fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation
GO:2000313,45,P:regulation of fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation
GO:0090174,23,P:organelle membrane fusion
GO:0007538,23,P:primary sex determination
GO:0090384,23,P:phagosome-lysosome docking
GO:1900079,17,P:regulation of arginine biosynthetic process
GO:0106049,12,P:regulation of cellular response to osmotic stress
GO:0003401,23,P:axis elongation
GO:1903626,11,P:positive regulation of DNA catabolic process
GO:1905843,12,P:regulation of cellular response to gamma radiation
GO:0099537,23,P:trans-synaptic signaling
GO:0090241,38,P:negative regulation of histone H4 acetylation
GO:1902605,43,P:heterotrimeric G-protein complex assembly
GO:0046958,23,P:nonassociative learning
GO:0051904,23,P:pigment granule transport
GO:0003117,23,P:regulation of vasoconstriction by circulating norepinephrine
GO:0090668,15,P:endothelial cell chemotaxis to vascular endothelial growth factor
GO:0061040,23,P:female gonad morphogenesis
GO:1905305,39,P:negative regulation of cardiac myofibril assembly
GO:0003251,2,P:positive regulation of cell proliferation involved in heart valve morphogenesis
GO:0097188,23,P:dentin mineralization
GO:0010272,23,P:response to silver ion
GO:1902443,39,P:negative regulation of ripoptosome assembly involved in necroptotic process
GO:0097753,23,P:membrane bending
GO:1902959,23,P:regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process
GO:0044088,23,P:regulation of vacuole organization
GO:0062098,23,P:regulation of programmed necrotic cell death
GO:0070926,23,P:regulation of ATP:ADP antiporter activity
GO:0097343,23,P:ripoptosome assembly
GO:1901026,23,P:ripoptosome assembly involved in necroptotic process
GO:1901725,38,P:regulation of histone deacetylase activity
GO:0060730,23,P:regulation of intestinal epithelial structure maintenance
GO:0072214,23,P:metanephric cortex development
GO:0072219,23,P:metanephric cortical collecting duct development
GO:0072235,23,P:metanephric distal tubule development
GO:1902544,23,P:regulation of DNA N-glycosylase activity
GO:0012502,23,P:induction of programmed cell death
GO:0090216,40,P:positive regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity
GO:1990256,23,P:signal clustering
GO:2000645,3,P:negative regulation of receptor catabolic process
GO:0120056,23,P:large intestinal transit
GO:1990983,23,P:tRNA demethylation
GO:0002101,23,P:tRNA wobble cytosine modification
GO:0043501,28,P:skeletal muscle adaptation
GO:1903540,8,P:establishment of protein localization to postsynaptic membrane
GO:1901626,23,P:regulation of postsynaptic membrane organization
GO:0008057,23,P:eye pigment granule organization
GO:1905314,23,P:semi-lunar valve development
GO:0099156,23,P:cell-cell signaling via exosome
GO:0061586,21,P:positive regulation of transcription by transcription factor localization
GO:0036076,23,P:ligamentous ossification
GO:0002152,23,P:bile acid conjugation
GO:1904586,12,P:cellular response to putrescine
GO:1990828,23,P:hepatocyte dedifferentiation
GO:0043470,11,P:regulation of carbohydrate catabolic process
GO:0021541,23,P:ammon gyrus development
GO:0016203,23,P:muscle attachment
GO:0021682,23,P:nerve maturation
GO:1905833,39,P:negative regulation of microtubule nucleation
GO:0070202,8,P:regulation of establishment of protein localization to chromosome
GO:0098530,42,P:positive regulation of strand invasion
GO:1904530,39,P:negative regulation of actin filament binding
GO:1900260,21,P:negative regulation of RNA-dependent RNA polymerase activity
GO:0032043,36,P:mitochondrial DNA catabolic process
GO:0098937,23,P:anterograde dendritic transport
GO:0032960,17,P:regulation of inositol trisphosphate biosynthetic process
GO:0043157,23,P:response to cation stress
GO:0002617,25,P:negative regulation of macrophage antigen processing and presentation
GO:0002300,47,"P:CD8-positive, alpha-beta intraepithelial T cell differentiation"
GO:1901398,23,P:regulation of transforming growth factor beta3 activation
GO:1900142,14,P:negative regulation of oligodendrocyte apoptotic process
GO:2000533,39,P:negative regulation of renal albumin absorption
GO:1901135,4,P:carbohydrate derivative metabolic process
GO:0106288,23,P:regulation of deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0071275,12,P:cellular response to aluminum ion
GO:1905672,39,P:negative regulation of lysosome organization
GO:0039521,23,P:suppression by virus of host autophagy
GO:1905934,15,P:negative regulation of cell fate determination
GO:2000227,30,P:negative regulation of pancreatic A cell differentiation
GO:0061106,30,P:negative regulation of stomach neuroendocrine cell differentiation
GO:0045977,19,"P:positive regulation of mitotic cell cycle, embryonic"
GO:0072141,23,P:renal interstitial fibroblast development
GO:0021558,23,P:trochlear nerve development
GO:0140131,42,P:positive regulation of lymphocyte chemotaxis
GO:0003412,6,P:establishment of epithelial cell apical/basal polarity involved in camera-type eye morphogenesis
GO:0006725,4,P:cellular aromatic compound metabolic process
GO:0015854,23,P:guanine transport
GO:0035364,23,P:thymine transport
GO:1902969,23,P:mitotic DNA replication
GO:0090073,27,P:positive regulation of protein homodimerization activity
GO:0043497,27,P:regulation of protein heterodimerization activity
GO:0060220,9,P:camera-type eye photoreceptor cell fate commitment
GO:0048074,39,P:negative regulation of eye pigmentation
GO:0030704,23,P:vitelline membrane formation
GO:0060121,23,P:vestibular receptor cell stereocilium organization
GO:0051307,23,P:meiotic chromosome separation
GO:0018200,23,P:peptidyl-glutamic acid modification
GO:1902983,23,P:DNA strand elongation involved in mitotic DNA replication
GO:1903741,39,P:negative regulation of phosphatidate phosphatase activity
GO:1901052,4,P:sarcosine metabolic process
GO:0045137,23,P:development of primary sexual characteristics
GO:0036102,4,P:leukotriene B4 metabolic process
GO:0097327,23,P:response to antineoplastic agent
GO:0033979,4,P:box H/ACA RNA metabolic process
GO:0055048,23,P:anastral spindle assembly
GO:1902846,19,P:positive regulation of mitotic spindle elongation
GO:1902365,8,P:positive regulation of protein localization to spindle pole body
GO:1903069,11,P:regulation of ER-associated ubiquitin-dependent protein catabolic process
GO:1903586,38,P:positive regulation of histone deubiquitination
GO:0055071,23,P:manganese ion homeostasis
GO:0006430,7,P:lysyl-tRNA aminoacylation
GO:0021685,23,P:cerebellar granular layer structural organization
GO:1903429,15,P:regulation of cell maturation
GO:0140493,23,P:very long-chain fatty acid beta-oxidation
GO:0099565,23,"P:chemical synaptic transmission, postsynaptic"
GO:1905835,12,P:cellular response to pyrimidine ribonucleotide
GO:2000514,47,"P:regulation of CD4-positive, alpha-beta T cell activation"
GO:0002644,35,P:negative regulation of tolerance induction
GO:1902482,14,P:regulatory T cell apoptotic process
GO:2000689,23,P:actomyosin contractile ring assembly actin filament organization
GO:0043933,23,P:protein-containing complex organization
GO:2000983,23,P:regulation of ATP citrate synthase activity
GO:0090219,40,P:negative regulation of lipid kinase activity
GO:0034213,11,P:quinolinate catabolic process
GO:1900753,23,P:doxorubicin transport
GO:0072595,8,P:maintenance of protein localization in organelle
GO:2000446,13,P:regulation of macrophage migration inhibitory factor signaling pathway
GO:0051878,23,P:lateral element assembly
GO:0045624,30,P:positive regulation of T-helper cell differentiation
GO:0060459,23,P:left lung development
GO:0060783,13,P:mesenchymal smoothened signaling pathway involved in prostate gland development
GO:2000357,22,P:negative regulation of kidney smooth muscle cell differentiation
GO:2000062,22,P:negative regulation of ureter smooth muscle cell differentiation
GO:0009949,23,P:polarity specification of anterior/posterior axis
GO:2000358,22,P:positive regulation of kidney smooth muscle cell differentiation
GO:0061189,42,P:positive regulation of sclerotome development
GO:2000063,22,P:positive regulation of ureter smooth muscle cell differentiation
GO:0060516,23,P:primary prostatic bud elongation
GO:0060782,32,P:regulation of mesenchymal cell proliferation involved in prostate gland development
GO:1900175,13,P:regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry
GO:0060685,23,P:regulation of prostatic bud formation
GO:0060458,23,P:right lung development
GO:0060439,23,P:trachea morphogenesis
GO:1905327,23,P:tracheoesophageal septum formation
GO:0072172,23,P:mesonephric tubule formation
GO:0070478,11,"P:nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay"
GO:1903011,39,P:negative regulation of bone development
GO:1903611,41,P:negative regulation of calcium-dependent ATPase activity
GO:1903625,11,P:negative regulation of DNA catabolic process
GO:1903634,39,P:negative regulation of leucine-tRNA ligase activity
GO:1903629,42,P:positive regulation of dUTP diphosphatase activity
GO:1905716,39,P:negative regulation of cornification
GO:0045344,1,P:negative regulation of MHC class I biosynthetic process
GO:0099088,23,P:axonal transport of messenger ribonucleoprotein complex
GO:1903770,39,P:negative regulation of beta-galactosidase activity
GO:0032208,39,P:negative regulation of telomere maintenance via recombination
GO:1903824,39,P:negative regulation of telomere single strand break repair
GO:0001830,9,P:trophectodermal cell fate commitment
GO:1903798,23,P:regulation of miRNA maturation
GO:0070921,23,P:regulation of siRNA production
GO:0046782,23,P:regulation of viral transcription
GO:2000793,32,P:cell proliferation involved in heart valve development
GO:2000802,42,P:positive regulation of endocardial cushion to mesenchymal transition involved in heart valve formation
GO:1902888,8,P:protein localization to astral microtubule
GO:0014820,26,P:tonic smooth muscle contraction
GO:1905608,42,P:positive regulation of presynapse assembly
GO:0000435,21,P:positive regulation of transcription from RNA polymerase II promoter by galactose
GO:0001710,9,P:mesodermal cell fate commitment
GO:0042275,23,P:error-free postreplication DNA repair
GO:0098828,23,P:modulation of inhibitory postsynaptic potential
GO:1901610,42,P:positive regulation of vesicle transport along microtubule
GO:0001909,23,P:leukocyte mediated cytotoxicity
GO:0090317,39,P:negative regulation of intracellular protein transport
GO:2000590,31,P:negative regulation of metanephric mesenchymal cell migration
GO:0110113,42,P:positive regulation of lipid transporter activity
GO:2000478,42,P:positive regulation of metanephric podocyte development
GO:0033034,14,P:positive regulation of myeloid cell apoptotic process
GO:2000534,42,P:positive regulation of renal albumin absorption
GO:0022401,13,P:negative adaptation of signaling pathway
GO:0036333,23,P:hepatocyte homeostasis
GO:0098727,23,P:maintenance of cell number
GO:1903788,17,P:positive regulation of glutathione biosynthetic process
GO:0042938,23,P:dipeptide transport
GO:0003128,23,P:heart field specification
GO:0002524,23,P:hypersensitivity
GO:0036339,23,P:lymphocyte adhesion to endothelial cell of high endothelial venule
GO:0061974,23,P:perichondral bone morphogenesis
GO:1990823,23,P:response to leukemia inhibitory factor
GO:0060506,13,P:smoothened signaling pathway involved in lung development
GO:0060792,23,P:sweat gland development
GO:0003026,33,P:regulation of systemic arterial blood pressure by aortic arch baroreceptor feedback
GO:1901827,17,P:zeaxanthin biosynthetic process
GO:0032739,42,P:positive regulation of interleukin-16 production
GO:0070253,23,P:somatostatin secretion
GO:0051630,23,P:acetylcholine uptake
GO:0010722,23,P:regulation of ferrochelatase activity
GO:0071329,12,P:cellular response to sucrose stimulus
GO:0002828,35,P:regulation of type 2 immune response
GO:0002420,23,P:natural killer cell mediated cytotoxicity directed against tumor cell target
GO:0099551,23,"P:trans-synaptic signaling by neuropeptide, modulating synaptic transmission"
GO:1900210,4,P:positive regulation of cardiolipin metabolic process
GO:0010092,23,P:specification of animal organ identity
GO:1990262,13,P:anti-Mullerian hormone signaling pathway
GO:0060678,18,P:dichotomous subdivision of terminal units involved in ureteric bud branching
GO:0072213,23,P:metanephric capsule development
GO:0072267,23,P:metanephric capsule specification
GO:0072076,23,P:nephrogenic mesenchyme development
GO:0042537,4,P:benzene-containing compound metabolic process
GO:0071680,23,P:response to indole-3-methanol
GO:0051029,23,P:rRNA transport
GO:0006185,17,P:dGDP biosynthetic process
GO:1901006,17,P:ubiquinone-6 biosynthetic process
GO:1904899,32,P:positive regulation of hepatic stellate cell proliferation
GO:0010707,17,P:globoside biosynthetic process via lactosylceramide
GO:0019255,4,P:glucose 1-phosphate metabolic process
GO:0046070,4,P:dGTP metabolic process
GO:0008617,4,P:guanosine metabolic process
GO:0046122,4,P:purine deoxyribonucleoside metabolic process
GO:0000097,17,P:sulfur amino acid biosynthetic process
GO:1904791,43,P:negative regulation of shelterin complex assembly
GO:0061824,23,P:cytosolic ciliogenesis
GO:0140591,23,P:nuclear envelope budding
GO:0021956,23,P:central nervous system interneuron axonogenesis
GO:0021936,23,P:regulation of cerebellar granule cell precursor proliferation
GO:1904283,25,P:negative regulation of antigen processing and presentation of endogenous peptide antigen via MHC class I
GO:0043251,23,P:sodium-dependent organic anion transport
GO:0021830,23,P:interneuron migration from the subpallium to the cortex
GO:2000118,23,P:regulation of sodium-dependent phosphate transport
GO:0003330,23,P:regulation of extracellular matrix constituent secretion
GO:1990438,23,P:U6 2'-O-snRNA methylation
GO:0090410,11,P:malonate catabolic process
GO:0097045,23,P:phosphatidylserine exposure on blood platelet
GO:0043041,17,P:amino acid activation for nonribosomal peptide biosynthetic process
GO:0019482,4,P:beta-alanine metabolic process
GO:1903910,3,P:negative regulation of receptor clustering
GO:0099158,23,P:regulation of recycling endosome localization within postsynapse
GO:0060721,32,P:regulation of spongiotrophoblast cell proliferation
GO:0061526,23,P:acetylcholine secretion
GO:0035675,22,P:neuromast hair cell development
GO:0032475,23,P:otolith formation
GO:0044774,23,P:mitotic DNA integrity checkpoint signaling
GO:2001251,39,P:negative regulation of chromosome organization
GO:2000103,32,P:positive regulation of mammary stem cell proliferation
GO:1904677,42,P:positive regulation of somatic stem cell division
GO:0000959,4,P:mitochondrial RNA metabolic process
GO:0033215,23,P:reductive iron assimilation
GO:0051039,21,P:positive regulation of transcription involved in meiotic cell cycle
GO:0086069,23,P:bundle of His cell to Purkinje myocyte communication
GO:0002757,35,P:immune response-activating signaling pathway
GO:0036292,23,P:DNA rewinding
GO:0055111,23,P:ingression involved in gastrulation with mouth forming second
GO:0070127,7,P:tRNA aminoacylation for mitochondrial protein translation
GO:0042774,49,P:plasma membrane ATP synthesis coupled electron transport
GO:0070143,7,P:mitochondrial alanyl-tRNA aminoacylation
GO:1905457,30,P:negative regulation of lymphoid progenitor cell differentiation
GO:0009133,17,P:nucleoside diphosphate biosynthetic process
GO:0009124,17,P:nucleoside monophosphate biosynthetic process
GO:0097370,23,P:protein O-GlcNAcylation via threonine
GO:0090275,39,P:negative regulation of somatostatin secretion
GO:1903125,39,P:negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation
GO:1904887,23,P:Wnt signalosome assembly
GO:0030473,23,P:nuclear migration along microtubule
GO:0097298,23,P:regulation of nucleus size
GO:1901668,23,P:regulation of superoxide dismutase activity
GO:1904064,20,P:positive regulation of cation transmembrane transport
GO:2000057,13,P:negative regulation of Wnt signaling pathway involved in digestive tract morphogenesis
GO:1903580,4,P:positive regulation of ATP metabolic process
GO:1901622,13,P:positive regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning
GO:1902389,23,P:ceramide 1-phosphate transport
GO:0009259,4,P:ribonucleotide metabolic process
GO:0045623,30,P:negative regulation of T-helper cell differentiation
GO:1900151,11,"P:regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
GO:0006756,23,P:AMP phosphorylation
GO:0061566,23,P:CMP phosphorylation
GO:0061565,23,P:dAMP phosphorylation
GO:0061567,23,P:dCMP phosphorylation
GO:0061890,42,P:positive regulation of astrocyte activation
GO:0120221,23,P:maintenance of ciliary planar beating movement pattern
GO:0030961,23,P:peptidyl-arginine hydroxylation
GO:0140484,49,P:5-aminolevulinic acid import across plasma membrane
GO:0035600,23,P:tRNA methylthiolation
GO:0006480,23,P:N-terminal protein amino acid methylation
GO:0060147,23,P:regulation of post-transcriptional gene silencing
GO:1900036,12,P:positive regulation of cellular response to heat
GO:0051638,23,P:barbed-end actin filament uncapping
GO:0120323,23,P:lipid ubiquitination
GO:0009794,19,"P:regulation of mitotic cell cycle, embryonic"
GO:0061339,23,P:establishment or maintenance of monopolar cell polarity
GO:2000119,39,P:negative regulation of sodium-dependent phosphate transport
GO:0043604,17,P:amide biosynthetic process
GO:0034627,17,P:'de novo' NAD biosynthetic process
GO:0060620,23,P:regulation of cholesterol import
GO:1901787,4,P:benzoyl-CoA metabolic process
GO:0035039,23,P:male pronucleus assembly
GO:1990755,23,P:mitotic spindle microtubule depolymerization
GO:0090132,23,P:epithelium migration
GO:0061588,23,P:calcium activated phospholipid scrambling
GO:1901623,23,P:regulation of lymphocyte chemotaxis
GO:0035261,23,P:external genitalia morphogenesis
GO:0061780,23,P:mitotic cohesin loading
GO:0035788,31,P:cell migration involved in metanephros development
GO:1903712,20,P:cysteine transmembrane transport
GO:0042669,9,P:regulation of inner ear auditory receptor cell fate specification
GO:0071579,41,P:regulation of zinc ion transport
GO:0070078,23,P:histone H3-R2 demethylation
GO:0070079,23,P:histone H4-R3 demethylation
GO:0018395,23,P:peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine
GO:0034470,23,P:ncRNA processing
GO:0062003,39,"P:negative regulation of all-trans-retinyl-ester hydrolase, 11-cis retinol forming activity"
GO:1905381,21,P:negative regulation of snRNA transcription by RNA polymerase II
GO:0036445,23,P:neuronal stem cell division
GO:1990697,23,P:protein depalmitoleylation
GO:1903743,39,P:negative regulation of anterograde synaptic vesicle transport
GO:1902684,3,P:negative regulation of receptor localization to synapse
GO:0070145,7,P:mitochondrial asparaginyl-tRNA aminoacylation
GO:2000626,11,P:negative regulation of miRNA catabolic process
GO:0140235,23,P:RNA polyadenylation at postsynapse
GO:1904683,23,P:regulation of metalloendopeptidase activity
GO:1900364,39,P:negative regulation of mRNA polyadenylation
GO:0006667,4,P:sphinganine metabolic process
GO:1901307,17,P:positive regulation of spermidine biosynthetic process
GO:0009446,17,P:putrescine biosynthetic process
GO:0110030,23,P:regulation of G2/MI transition of meiotic cell cycle
GO:0090077,30,P:foam cell differentiation
GO:0034439,23,P:lipoprotein lipid oxidation
GO:0034128,45,P:negative regulation of MyD88-independent toll-like receptor signaling pathway
GO:0043143,23,P:regulation of translation by machinery localization
GO:0007604,23,"P:phototransduction, UV"
GO:0070084,23,P:protein initiator methionine removal
GO:2000408,15,P:negative regulation of T cell extravasation
GO:0038123,13,P:toll-like receptor TLR1:TLR2 signaling pathway
GO:1904729,23,P:regulation of intestinal lipid absorption
GO:0001808,39,P:negative regulation of type IV hypersensitivity
GO:0070285,22,P:pigment cell development
GO:0045898,21,P:regulation of RNA polymerase II transcription preinitiation complex assembly
GO:0044726,23,P:maintenance of DNA methylation at imprinted genes
GO:2000293,39,P:negative regulation of defecation
GO:0060648,23,P:mammary gland bud morphogenesis
GO:0034355,23,P:NAD salvage
GO:0140048,49,P:manganese ion export across plasma membrane
GO:0016269,23,"P:O-glycan processing, core 3"
GO:0061514,13,P:interleukin-34-mediated signaling pathway
GO:0160054,23,P:microfibril assembly
GO:0014906,28,P:myotube cell development involved in skeletal muscle regeneration
